Date,VOO
2020-03-31,234.59524536132812
2020-04-01,224.0254669189453
2020-04-02,229.26577758789062
2020-04-03,225.87789916992188
2020-04-06,241.24220275878906
2020-04-07,241.37098693847656
2020-04-08,249.5632781982422
2020-04-09,253.26815795898438
2020-04-13,250.8114471435547
2020-04-14,258.4688415527344
2020-04-15,252.8422088623047
2020-04-16,254.1200714111328
2020-04-17,261.133544921875
2020-04-20,256.42816162109375
2020-04-21,248.5924835205078
2020-04-22,254.06063842773438
2020-04-23,254.01112365722656
2020-04-24,257.6961669921875
2020-04-27,261.42083740234375
2020-04-28,260.2123107910156
2020-04-29,266.918701171875
2020-04-30,264.5907897949219
2020-05-01,257.3791809082031
2020-05-04,258.19146728515625
2020-05-05,260.5689392089844
2020-05-06,258.8155212402344
2020-05-07,261.8764953613281
2020-05-08,266.2550048828125
2020-05-11,266.29461669921875
2020-05-12,260.9354553222656
2020-05-13,256.3092956542969
2020-05-14,259.3999938964844
2020-05-15,260.5689392089844
2020-05-18,268.5333557128906
2020-05-19,265.9974365234375
2020-05-20,270.3362731933594
2020-05-21,268.39471435546875
2020-05-22,268.99896240234375
2020-05-26,272.4561767578125
2020-05-27,276.4284973144531
2020-05-28,275.8836975097656
2020-05-29,277.1219482421875
2020-06-01,278.3304748535156
2020-06-02,280.6187744140625
2020-06-03,284.3236389160156
2020-06-04,283.60052490234375
2020-06-05,290.8517150878906
2020-06-08,294.3782958984375
2020-06-09,292.2881164550781
2020-06-10,290.4654235839844
2020-06-11,273.7241516113281
2020-06-12,277.0228576660156
2020-06-15,279.5489501953125
2020-06-16,285.01708984375
2020-06-17,283.7094421386719
2020-06-18,283.9670104980469
2020-06-19,282.2928771972656
2020-06-22,284.1651306152344
2020-06-23,285.45294189453125
2020-06-24,278.1521911621094
2020-06-25,281.09429931640625
2020-06-26,274.5067138671875
2020-06-29,278.5126647949219
2020-06-30,282.226806640625
2020-07-01,284.1585998535156
2020-07-02,285.59246826171875
2020-07-06,290.0235900878906
2020-07-07,287.0163879394531
2020-07-08,289.1473388671875
2020-07-09,287.6736145019531
2020-07-10,290.561279296875
2020-07-13,287.9324951171875
2020-07-14,291.78607177734375
2020-07-15,294.3750305175781
2020-07-16,293.5186767578125
2020-07-17,294.2953796386719
2020-07-20,296.74493408203125
2020-07-21,297.3623046875
2020-07-22,299.0550842285156
2020-07-23,295.4803161621094
2020-07-24,293.5684814453125
2020-07-27,295.7093505859375
2020-07-28,293.8771667480469
2020-07-29,297.4320068359375
2020-07-30,296.34661865234375
2020-07-31,298.8260803222656
2020-08-03,300.7080383300781
2020-08-04,301.97265625
2020-08-05,303.8546142578125
2020-08-06,305.89593505859375
2020-08-07,306.05523681640625
2020-08-10,307.03106689453125
2020-08-11,304.5516662597656
2020-08-12,308.723876953125
2020-08-13,308.1961364746094
2020-08-14,308.1961364746094
2020-08-17,309.19189453125
2020-08-18,309.839111328125
2020-08-19,308.52471923828125
2020-08-20,309.50054931640625
2020-08-21,310.6058349609375
2020-08-24,313.76239013671875
2020-08-25,314.85772705078125
2020-08-26,318.0740051269531
2020-08-27,318.7113037109375
2020-08-28,320.7824401855469
2020-08-31,319.6572570800781
2020-09-01,322.6445007324219
2020-09-02,327.344482421875
2020-09-03,316.0127868652344
2020-09-04,313.48358154296875
2020-09-08,304.87030029296875
2020-09-09,310.8846435546875
2020-09-10,305.4478454589844
2020-09-11,305.6768798828125
2020-09-14,309.6499328613281
2020-09-15,311.2431335449219
2020-09-16,309.98846435546875
2020-09-17,307.280029296875
2020-09-18,303.70526123046875
2020-09-21,300.4093017578125
2020-09-22,303.44635009765625
2020-09-23,296.41632080078125
2020-09-24,297.23284912109375
2020-09-25,301.9925537109375
2020-09-28,307.0509948730469
2020-09-29,305.29998779296875
2020-09-30,307.6499938964844
2020-10-01,309.6000061035156
2020-10-02,306.7200012207031
2020-10-05,312.0799865722656
2020-10-06,307.7200012207031
2020-10-07,313.0
2020-10-08,315.7699890136719
2020-10-09,318.5799865722656
2020-10-12,323.7200012207031
2020-10-13,321.6499938964844
2020-10-14,319.6400146484375
2020-10-15,319.260009765625
2020-10-16,318.989990234375
2020-10-19,314.1700134277344
2020-10-20,315.4100036621094
2020-10-21,314.8399963378906
2020-10-22,316.57000732421875
2020-10-23,317.6499938964844
2020-10-26,311.79998779296875
2020-10-27,310.7699890136719
2020-10-28,300.07000732421875
2020-10-29,303.2300109863281
2020-10-30,299.82000732421875
2020-11-02,303.30999755859375
2020-11-03,308.6600036621094
2020-11-04,315.6099853515625
2020-11-05,321.7900085449219
2020-11-06,321.75
2020-11-09,325.760009765625
2020-11-10,325.3399963378906
2020-11-11,327.6300048828125
